nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon
"Alla Palazzina","restaurant","Località Prada Bassa","Prada","Verona","37010","45.6650663","10.7711753"
"Ristorante Pizzeria La Staffa","restaurant","Via Avv. Gianni Augusto Ruffo","Arcole","Verona","37040","45.3735356","11.2870075"
"Il Castagneto","restaurant","Via Corrubio","San Zeno di Montagna","Verona","37010","45.6413101","10.7542011"
"Albergo Capriolo","restaurant","Contrada Pra' Bestema'","San Zeno di Montagna","Verona","37010","45.6474167","10.7561233"
"Pizzeria ""Al gatto verde""","restaurant","Via Giacomo Matteotti","Belfiore","Verona","37050","45.380536","11.2128448"
"Botanika","restaurant","Strada Gardesana","Bardolino","Verona","37011","45.5641603","10.7127773"
"La Lanterna","restaurant","Via Torrente Gusa","Garda","Verona","37016","45.5787734","10.7295967"
"El Brol","restaurant","Via Quattro Novembre","Castion Veronese","Verona","37010","45.6061444","10.7270575"
"Malga Faggioli","restaurant","Via Fittanze","Erbezzo","Verona","37020","45.6503358","10.9893763"
"Al Giardinetto","restaurant","Via Campagnol di Tombetta","Verona","Verona","37134","45.4152039","10.993411"
"Osteria al Duca","restaurant","Via Arche Scaligere","Verona","Verona","37121","45.4434505","10.9993864"
"Il Giardinetto","restaurant","Via Don Marcellino Faccio","San Zeno di Montagna","Verona","37010","45.631047","10.7226986"
"Pizzeria Il Thempio","restaurant","Raccordo Autostradale","San Martino Buon Albergo","Verona","37036","45.417747","11.0826596"
"Piccola locanda","restaurant","Via Albere","Bussolengo","Verona","37012","45.4794353","10.8695833"
"Zorba","restaurant","Via della Filanda","Pescantina","Verona","37026","45.4845874","10.8671873"
"Trattoria al tempio","restaurant","Via Chioda","Verona","Verona","37136","45.4087527","10.9506599"
"Trattoria dalla Mostaciona","restaurant","Via Chioda","Verona","Verona","37136","45.4082767","10.9507372"
"Ristorante & Bar Montebaldina","restaurant","Via Lumini","San Zeno di Montagna","Verona","37010","45.6284687","10.7559432"
"Trattoria ""La Mora""","restaurant","Piazza Giacomo Matteotti","Cazzano di Tramigna","Verona","37030","45.4711729","11.2040993"
